Municipality,State,Population,Contact Name,Title,Email,Phone,Website,Address,Source,Last Updated
"Greenview CDP, West Virginia",West Virginia,333,,,,,,,US Census API,2025-07-29 22:02:50
"Greenville CDP, West Virginia",West Virginia,243,,,,,,,US Census API,2025-07-29 22:02:50
"Gypsy CDP, West Virginia",West Virginia,197,,,,,,,US Census API,2025-07-29 22:02:50
"Hambleton town, West Virginia",West Virginia,218,,,,,,,US Census API,2025-07-29 22:02:50
"Hamlin town, West Virginia",West Virginia,1039,,,,,,,US Census API,2025-07-29 22:02:50
"Handley town, West Virginia",West Virginia,223,,,,,,,US Census API,2025-07-29 22:02:50
"Hansford CDP, West Virginia",West Virginia,227,,,,,,,US Census API,2025-07-29 22:02:50
"Harman town, West Virginia",West Virginia,95,,,,,,,US Census API,2025-07-29 22:02:50
"Harpers Ferry town, West Virginia",West Virginia,269,,,,,,,US Census API,2025-07-29 22:02:50
"Harrisville town, West Virginia",West Virginia,1631,,,,,,,US Census API,2025-07-29 22:02:50
"Hartford City town, West Virginia",West Virginia,503,,,,,,,US Census API,2025-07-29 22:02:50
"Harts CDP, West Virginia",West Virginia,573,,,,,,,US Census API,2025-07-29 22:02:50
"Hedgesville town, West Virginia",West Virginia,300,,,,,,,US Census API,2025-07-29 22:02:50
"Helen CDP, West Virginia",West Virginia,137,,,,,,,US Census API,2025-07-29 22:02:50
"Helvetia CDP, West Virginia",West Virginia,38,,,,,,,US Census API,2025-07-29 22:02:50
"Henderson town, West Virginia",West Virginia,228,,,,,,,US Census API,2025-07-29 22:02:50
"Hendricks town, West Virginia",West Virginia,228,,,,,,,US Census API,2025-07-29 22:02:50
"Henlawson CDP, West Virginia",West Virginia,353,,,,,,,US Census API,2025-07-29 22:02:50
"Hepzibah CDP, West Virginia",West Virginia,387,,,,,,,US Census API,2025-07-29 22:02:50
"Hico CDP, West Virginia",West Virginia,239,,,,,,,US Census API,2025-07-29 22:02:50
"Hillsboro town, West Virginia",West Virginia,232,,,,,,,US Census API,2025-07-29 22:02:50
"Hilltop CDP, West Virginia",West Virginia,528,,,,,,,US Census API,2025-07-29 22:02:50
"Hinkleville CDP, West Virginia",West Virginia,366,,,,,,,US Census API,2025-07-29 22:02:50
"Hinton city, West Virginia",West Virginia,2245,,,,,,,US Census API,2025-07-29 22:02:50
"Holden CDP, West Virginia",West Virginia,783,,,,,,,US Census API,2025-07-29 22:02:50
"Hollygrove CDP, West Virginia",West Virginia,113,,,,,,,US Census API,2025-07-29 22:02:50
"Hometown CDP, West Virginia",West Virginia,556,,,,,,,US Census API,2025-07-29 22:02:50
"Hooverson Heights CDP, West Virginia",West Virginia,2582,,,,,,,US Census API,2025-07-29 22:02:50
"Hundred town, West Virginia",West Virginia,255,,,,,,,US Census API,2025-07-29 22:02:50
"Huntersville CDP, West Virginia",West Virginia,68,,,,,,,US Census API,2025-07-29 22:02:50
"Huntington city, West Virginia",West Virginia,46842,,,,,,,US Census API,2025-07-29 22:02:50
"Hurricane city, West Virginia",West Virginia,6961,,,,,,,US Census API,2025-07-29 22:02:50
"Huttonsville town, West Virginia",West Virginia,163,,,,,,,US Census API,2025-07-29 22:02:50
"Iaeger town, West Virginia",West Virginia,257,,,,,,,US Census API,2025-07-29 22:02:50
"Idamay CDP, West Virginia",West Virginia,542,,,,,,,US Census API,2025-07-29 22:02:50
"Institute CDP, West Virginia",West Virginia,569,,,,,,,US Census API,2025-07-29 22:02:50
"Inwood CDP, West Virginia",West Virginia,3426,,,,,,,US Census API,2025-07-29 22:02:50
"Itmann CDP, West Virginia",West Virginia,259,,,,,,,US Census API,2025-07-29 22:02:50
"Jacksonburg CDP, West Virginia",West Virginia,114,,,,,,,US Census API,2025-07-29 22:02:50
"Jane Lew town, West Virginia",West Virginia,408,,,,,,,US Census API,2025-07-29 22:02:50
"Jefferson CDP, West Virginia",West Virginia,527,,,,,,,US Census API,2025-07-29 22:02:50
"Junior town, West Virginia",West Virginia,384,,,,,,,US Census API,2025-07-29 22:02:50
"Justice Addition CDP, West Virginia",West Virginia,331,,,,,,,US Census API,2025-07-29 22:02:50
"Justice CDP, West Virginia",West Virginia,313,,,,,,,US Census API,2025-07-29 22:02:50
"Kanawha CDP, West Virginia",West Virginia,430,,,,,,,US Census API,2025-07-29 22:02:50
"Kenova city, West Virginia",West Virginia,3033,,,,,,,US Census API,2025-07-29 22:02:51
"Kermit town, West Virginia",West Virginia,317,,,,,,,US Census API,2025-07-29 22:02:51
"Keyser city, West Virginia",West Virginia,4864,,,,,,,US Census API,2025-07-29 22:02:51
"Keystone city, West Virginia",West Virginia,176,,,,,,,US Census API,2025-07-29 22:02:51
"Kimball town, West Virginia",West Virginia,145,,,,,,,US Census API,2025-07-29 22:02:51
"Kimberly CDP, West Virginia",West Virginia,213,,,,,,,US Census API,2025-07-29 22:02:51
"Kincaid CDP, West Virginia",West Virginia,191,,,,,,,US Census API,2025-07-29 22:02:51
"Kingwood city, West Virginia",West Virginia,2980,,,,,,,US Census API,2025-07-29 22:02:51
"Kistler CDP, West Virginia",West Virginia,420,,,,,,,US Census API,2025-07-29 22:02:51
"Kopperston CDP, West Virginia",West Virginia,569,,,,,,,US Census API,2025-07-29 22:02:51
"Lashmeet CDP, West Virginia",West Virginia,409,,,,,,,US Census API,2025-07-29 22:02:51
"Lavalette CDP, West Virginia",West Virginia,932,,,,,,,US Census API,2025-07-29 22:02:51
"Leon town, West Virginia",West Virginia,137,,,,,,,US Census API,2025-07-29 22:02:51
"Lesage CDP, West Virginia",West Virginia,1290,,,,,,,US Census API,2025-07-29 22:02:51
"Lester town, West Virginia",West Virginia,338,,,,,,,US Census API,2025-07-29 22:02:51
"Lewisburg city, West Virginia",West Virginia,3922,,,,,,,US Census API,2025-07-29 22:02:51
"Littleton CDP, West Virginia",West Virginia,103,,,,,,,US Census API,2025-07-29 22:02:51
"Logan city, West Virginia",West Virginia,1439,,,,,,,US Census API,2025-07-29 22:02:51
"Lost Creek town, West Virginia",West Virginia,359,,,,,,,US Census API,2025-07-29 22:02:51
"Lubeck CDP, West Virginia",West Virginia,1309,,,,,,,US Census API,2025-07-29 22:02:51
"Lumberport town, West Virginia",West Virginia,717,,,,,,,US Census API,2025-07-29 22:02:51
"Mabscott town, West Virginia",West Virginia,1341,,,,,,,US Census API,2025-07-29 22:02:51
"MacArthur CDP, West Virginia",West Virginia,1376,,,,,,,US Census API,2025-07-29 22:02:51
"Madison city, West Virginia",West Virginia,2913,,,,,,,US Census API,2025-07-29 22:02:51
"Malden CDP, West Virginia",West Virginia,444,,,,,,,US Census API,2025-07-29 22:02:51
"Mallory CDP, West Virginia",West Virginia,1552,,,,,,,US Census API,2025-07-29 22:02:51
"Man town, West Virginia",West Virginia,772,,,,,,,US Census API,2025-07-29 22:02:51
"Mannington city, West Virginia",West Virginia,1952,,,,,,,US Census API,2025-07-29 22:02:51
"Marlinton town, West Virginia",West Virginia,998,,,,,,,US Census API,2025-07-29 22:02:51
"Marmet city, West Virginia",West Virginia,1504,,,,,,,US Census API,2025-07-29 22:02:51
"Martinsburg city, West Virginia",West Virginia,18777,,,,,,,US Census API,2025-07-29 22:02:51
"Mason town, West Virginia",West Virginia,866,,,,,,,US Census API,2025-07-29 22:02:51
"Masontown town, West Virginia",West Virginia,510,,,,,,,US Census API,2025-07-29 22:02:51
"Matewan town, West Virginia",West Virginia,412,,,,,,,US Census API,2025-07-29 22:02:51
"Matheny CDP, West Virginia",West Virginia,446,,,,,,,US Census API,2025-07-29 22:02:51
"Matoaka town, West Virginia",West Virginia,173,,,,,,,US Census API,2025-07-29 22:02:51
"Maybeury CDP, West Virginia",West Virginia,109,,,,,,,US Census API,2025-07-29 22:02:51
"McConnell CDP, West Virginia",West Virginia,412,,,,,,,US Census API,2025-07-29 22:02:51
"McMechen city, West Virginia",West Virginia,1697,,,,,,,US Census API,2025-07-29 22:02:51
"Meadow Bridge town, West Virginia",West Virginia,324,,,,,,,US Census API,2025-07-29 22:02:51
"Middlebourne town, West Virginia",West Virginia,717,,,,,,,US Census API,2025-07-29 22:02:51
"Middleway CDP, West Virginia",West Virginia,482,,,,,,,US Census API,2025-07-29 22:02:51
"Mill Creek town, West Virginia",West Virginia,560,,,,,,,US Census API,2025-07-29 22:02:51
"Milton town, West Virginia",West Virginia,2811,,,,,,,US Census API,2025-07-29 22:02:51
"Mineralwells CDP, West Virginia",West Virginia,1805,,,,,,,US Census API,2025-07-29 22:02:51
"Mitchell Heights town, West Virginia",West Virginia,314,,,,,,,US Census API,2025-07-29 22:02:51
"Monaville CDP, West Virginia",West Virginia,302,,,,,,,US Census API,2025-07-29 22:02:51
"Monongah town, West Virginia",West Virginia,965,,,,,,,US Census API,2025-07-29 22:02:51
"Montcalm CDP, West Virginia",West Virginia,575,,,,,,,US Census API,2025-07-29 22:02:51
"Montgomery city, West Virginia",West Virginia,1275,,,,,,,US Census API,2025-07-29 22:02:51
"Montrose town, West Virginia",West Virginia,145,,,,,,,US Census API,2025-07-29 22:02:51
"Moorefield town, West Virginia",West Virginia,2524,,,,,,,US Census API,2025-07-29 22:02:51
"Morgantown city, West Virginia",West Virginia,30347,,,,,,,US Census API,2025-07-29 22:02:51
"Moundsville city, West Virginia",West Virginia,8093,,,,,,,US Census API,2025-07-29 22:02:51
"Mount Carbon CDP, West Virginia",West Virginia,341,,,,,,,US Census API,2025-07-29 22:02:51
"Mount Gay-Shamrock CDP, West Virginia",West Virginia,1430,,,,,,,US Census API,2025-07-29 22:02:51
"Mount Hope city, West Virginia",West Virginia,1125,,,,,,,US Census API,2025-07-29 22:02:51
"Mullens city, West Virginia",West Virginia,1480,,,,,,,US Census API,2025-07-29 22:02:51
"Neibert CDP, West Virginia",West Virginia,205,,,,,,,US Census API,2025-07-29 22:02:51
"Nettie CDP, West Virginia",West Virginia,483,,,,,,,US Census API,2025-07-29 22:02:51
"New Cumberland city, West Virginia",West Virginia,1020,,,,,,,US Census API,2025-07-29 22:02:51
"New Haven town, West Virginia",West Virginia,1476,,,,,,,US Census API,2025-07-29 22:02:51
"New Martinsville city, West Virginia",West Virginia,5204,,,,,,,US Census API,2025-07-29 22:02:51
"New Richmond CDP, West Virginia",West Virginia,193,,,,,,,US Census API,2025-07-29 22:02:51
"Newark CDP, West Virginia",West Virginia,496,,,,,,,US Census API,2025-07-29 22:02:51
"Newburg town, West Virginia",West Virginia,259,,,,,,,US Census API,2025-07-29 22:02:51
"Newell CDP, West Virginia",West Virginia,1203,,,,,,,US Census API,2025-07-29 22:02:51
"Nitro city, West Virginia",West Virginia,6624,,,,,,,US Census API,2025-07-29 22:02:51
"North Hills town, West Virginia",West Virginia,834,,,,,,,US Census API,2025-07-29 22:02:51
"Northfork town, West Virginia",West Virginia,231,,,,,,,US Census API,2025-07-29 22:02:51
"Norton CDP, West Virginia",West Virginia,336,,,,,,,US Census API,2025-07-29 22:02:51
"Nutter Fort town, West Virginia",West Virginia,1493,,,,,,,US Census API,2025-07-29 22:02:51
"Oak Hill city, West Virginia",West Virginia,8179,,,,,,,US Census API,2025-07-29 22:02:51
"Oakvale town, West Virginia",West Virginia,133,,,,,,,US Census API,2025-07-29 22:02:51
"Oceana town, West Virginia",West Virginia,1449,,,,,,,US Census API,2025-07-29 22:02:51
"Omar CDP, West Virginia",West Virginia,416,,,,,,,US Census API,2025-07-29 22:02:51
"Osage CDP, West Virginia",West Virginia,82,,,,,,,US Census API,2025-07-29 22:02:51
"Paden City city, West Virginia",West Virginia,2541,,,,,,,US Census API,2025-07-29 22:02:51
"Page CDP, West Virginia",West Virginia,152,,,,,,,US Census API,2025-07-29 22:02:51
"Pageton CDP, West Virginia",West Virginia,174,,,,,,,US Census API,2025-07-29 22:02:51
"Parcoal CDP, West Virginia",West Virginia,130,,,,,,,US Census API,2025-07-29 22:02:51
"Parkersburg city, West Virginia",West Virginia,29738,,,,,,,US Census API,2025-07-29 22:02:51
"Parsons city, West Virginia",West Virginia,1327,,,,,,,US Census API,2025-07-29 22:02:51
"Paw Paw town, West Virginia",West Virginia,410,,,,,,,US Census API,2025-07-29 22:02:51
"Pax town, West Virginia",West Virginia,136,,,,,,,US Census API,2025-07-29 22:02:51
"Pea Ridge CDP, West Virginia",West Virginia,6602,,,,,,,US Census API,2025-07-29 22:02:51
"Peach Creek CDP, West Virginia",West Virginia,185,,,,,,,US Census API,2025-07-29 22:02:51
"Pennsboro city, West Virginia",West Virginia,1054,,,,,,,US Census API,2025-07-29 22:02:51
"Pentress CDP, West Virginia",West Virginia,135,,,,,,,US Census API,2025-07-29 22:02:51
"Petersburg city, West Virginia",West Virginia,2284,,,,,,,US Census API,2025-07-29 22:02:51
"Peterstown town, West Virginia",West Virginia,448,,,,,,,US Census API,2025-07-29 22:02:51
"Philippi city, West Virginia",West Virginia,2929,,,,,,,US Census API,2025-07-29 22:02:51
"Pickens CDP, West Virginia",West Virginia,41,,,,,,,US Census API,2025-07-29 22:02:51
"Piedmont town, West Virginia",West Virginia,718,,,,,,,US Census API,2025-07-29 22:02:51
"Pinch CDP, West Virginia",West Virginia,2914,,,,,,,US Census API,2025-07-29 22:02:51
"Pine Grove town, West Virginia",West Virginia,363,,,,,,,US Census API,2025-07-29 22:02:51
"Pineville town, West Virginia",West Virginia,645,,,,,,,US Census API,2025-07-29 22:02:51
"Piney View CDP, West Virginia",West Virginia,902,,,,,,,US Census API,2025-07-29 22:02:51
"Pleasant Valley city, West Virginia",West Virginia,3498,,,,,,,US Census API,2025-07-29 22:02:51
"Poca town, West Virginia",West Virginia,874,,,,,,,US Census API,2025-07-29 22:02:51
"Point Pleasant city, West Virginia",West Virginia,4070,,,,,,,US Census API,2025-07-29 22:02:51
"Powellton CDP, West Virginia",West Virginia,493,,,,,,,US Census API,2025-07-29 22:02:51
"Pratt town, West Virginia",West Virginia,483,,,,,,,US Census API,2025-07-29 22:02:51
"Prichard CDP, West Virginia",West Virginia,461,,,,,,,US Census API,2025-07-29 22:02:51
"Prince CDP, West Virginia",West Virginia,115,,,,,,,US Census API,2025-07-29 22:02:51
"Princeton city, West Virginia",West Virginia,5872,,,,,,,US Census API,2025-07-29 22:02:51
"Prosperity CDP, West Virginia",West Virginia,1345,,,,,,,US Census API,2025-07-29 22:02:51
"Pullman town, West Virginia",West Virginia,135,,,,,,,US Census API,2025-07-29 22:02:51
"Quinwood town, West Virginia",West Virginia,222,,,,,,,US Census API,2025-07-29 22:02:51
"Rachel CDP, West Virginia",West Virginia,224,,,,,,,US Census API,2025-07-29 22:02:51
"Racine CDP, West Virginia",West Virginia,267,,,,,,,US Census API,2025-07-29 22:02:52
"Rainelle town, West Virginia",West Virginia,1190,,,,,,,US Census API,2025-07-29 22:02:52
"Raleigh CDP, West Virginia",West Virginia,245,,,,,,,US Census API,2025-07-29 22:02:52
"Rand CDP, West Virginia",West Virginia,1543,,,,,,,US Census API,2025-07-29 22:02:52
"Ranson corporation, West Virginia",West Virginia,5433,,,,,,,US Census API,2025-07-29 22:02:52
"Ravenswood city, West Virginia",West Virginia,3865,,,,,,,US Census API,2025-07-29 22:02:52
"Raymond City CDP, West Virginia",West Virginia,367,,,,,,,US Census API,2025-07-29 22:02:52
"Raysal CDP, West Virginia",West Virginia,364,,,,,,,US Census API,2025-07-29 22:02:52
"Reader CDP, West Virginia",West Virginia,278,,,,,,,US Census API,2025-07-29 22:02:52
"Red Jacket CDP, West Virginia",West Virginia,525,,,,,,,US Census API,2025-07-29 22:02:52
"Reedsville town, West Virginia",West Virginia,530,,,,,,,US Census API,2025-07-29 22:02:52
"Reedy town, West Virginia",West Virginia,150,,,,,,,US Census API,2025-07-29 22:02:52
"Reynoldsville CDP, West Virginia",West Virginia,339,,,,,,,US Census API,2025-07-29 22:02:52
"Rhodell town, West Virginia",West Virginia,141,,,,,,,US Census API,2025-07-29 22:02:52
"Richwood city, West Virginia",West Virginia,1660,,,,,,,US Census API,2025-07-29 22:02:52
"Ridgeley town, West Virginia",West Virginia,591,,,,,,,US Census API,2025-07-29 22:02:52
"Ripley city, West Virginia",West Virginia,3079,,,,,,,US Census API,2025-07-29 22:02:52
"Rivesville town, West Virginia",West Virginia,828,,,,,,,US Census API,2025-07-29 22:02:52
"Robinette CDP, West Virginia",West Virginia,567,,,,,,,US Census API,2025-07-29 22:02:52
"Rock Cave CDP, West Virginia",West Virginia,319,,,,,,,US Census API,2025-07-29 22:02:52
"Roderfield CDP, West Virginia",West Virginia,62,,,,,,,US Census API,2025-07-29 22:02:52
"Romney city, West Virginia",West Virginia,1724,,,,,,,US Census API,2025-07-29 22:02:52
"Ronceverte city, West Virginia",West Virginia,1572,,,,,,,US Census API,2025-07-29 22:02:52
"Rossmore CDP, West Virginia",West Virginia,241,,,,,,,US Census API,2025-07-29 22:02:52
"Rowlesburg town, West Virginia",West Virginia,438,,,,,,,US Census API,2025-07-29 22:02:52
"Rupert town, West Virginia",West Virginia,877,,,,,,,US Census API,2025-07-29 22:02:52
"Salem city, West Virginia",West Virginia,1529,,,,,,,US Census API,2025-07-29 22:02:52
"Salt Rock CDP, West Virginia",West Virginia,373,,,,,,,US Census API,2025-07-29 22:02:52
"Sand Fork town, West Virginia",West Virginia,180,,,,,,,US Census API,2025-07-29 22:02:52
"Sarah Ann CDP, West Virginia",West Virginia,207,,,,,,,US Census API,2025-07-29 22:02:52
"Scarbro CDP, West Virginia",West Virginia,461,,,,,,,US Census API,2025-07-29 22:02:52
"Shady Spring CDP, West Virginia",West Virginia,3169,,,,,,,US Census API,2025-07-29 22:02:52
"Shannondale CDP, West Virginia",West Virginia,3487,,,,,,,US Census API,2025-07-29 22:02:52
"Shenandoah Junction CDP, West Virginia",West Virginia,635,,,,,,,US Census API,2025-07-29 22:02:52
"Shepherdstown town, West Virginia",West Virginia,1531,,,,,,,US Census API,2025-07-29 22:02:52
"Shinnston city, West Virginia",West Virginia,2328,,,,,,,US Census API,2025-07-29 22:02:52
"Shrewsbury CDP, West Virginia",West Virginia,517,,,,,,,US Census API,2025-07-29 22:02:52
"Sissonville CDP, West Virginia",West Virginia,4084,,,,,,,US Census API,2025-07-29 22:02:52
"Sistersville city, West Virginia",West Virginia,1412,,,,,,,US Census API,2025-07-29 22:02:52
"Smithers city, West Virginia",West Virginia,754,,,,,,,US Census API,2025-07-29 22:02:52
"Smithfield town, West Virginia",West Virginia,103,,,,,,,US Census API,2025-07-29 22:02:52
"Sophia town, West Virginia",West Virginia,1130,,,,,,,US Census API,2025-07-29 22:02:52
"South Charleston city, West Virginia",West Virginia,13647,,,,,,,US Census API,2025-07-29 22:02:52
"Spelter CDP, West Virginia",West Virginia,244,,,,,,,US Census API,2025-07-29 22:02:52
"Spencer city, West Virginia",West Virginia,2063,,,,,,,US Census API,2025-07-29 22:02:52
"Sprague CDP, West Virginia",West Virginia,1289,,,,,,,US Census API,2025-07-29 22:02:52
"Springfield CDP, West Virginia",West Virginia,455,,,,,,,US Census API,2025-07-29 22:02:52
"St. Albans city, West Virginia",West Virginia,10861,,,,,,,US Census API,2025-07-29 22:02:52
"St. George CDP, West Virginia",West Virginia,74,,,,,,,US Census API,2025-07-29 22:02:52
"St. Marys city, West Virginia",West Virginia,1831,,,,,,,US Census API,2025-07-29 22:02:52
"Stanaford CDP, West Virginia",West Virginia,1215,,,,,,,US Census API,2025-07-29 22:02:52
"Star City town, West Virginia",West Virginia,1779,,,,,,,US Census API,2025-07-29 22:02:52
"Stollings CDP, West Virginia",West Virginia,310,,,,,,,US Census API,2025-07-29 22:02:52
"Stonewood city, West Virginia",West Virginia,1798,,,,,,,US Census API,2025-07-29 22:02:52
"Summersville city, West Virginia",West Virginia,3431,,,,,,,US Census API,2025-07-29 22:02:52
"Sutton town, West Virginia",West Virginia,863,,,,,,,US Census API,2025-07-29 22:02:52
"Switzer CDP, West Virginia",West Virginia,593,,,,,,,US Census API,2025-07-29 22:02:52
"Sylvester town, West Virginia",West Virginia,171,,,,,,,US Census API,2025-07-29 22:02:52
"Teays Valley CDP, West Virginia",West Virginia,14350,,,,,,,US Census API,2025-07-29 22:02:52
"Terra Alta town, West Virginia",West Virginia,1415,,,,,,,US Census API,2025-07-29 22:02:52
"Thomas city, West Virginia",West Virginia,611,,,,,,,US Census API,2025-07-29 22:02:52
"Thurmond town, West Virginia",West Virginia,5,,,,,,,US Census API,2025-07-29 22:02:52
"Tioga CDP, West Virginia",West Virginia,79,,,,,,,US Census API,2025-07-29 22:02:52
"Tornado CDP, West Virginia",West Virginia,1081,,,,,,,US Census API,2025-07-29 22:02:52
"Triadelphia town, West Virginia",West Virginia,669,,,,,,,US Census API,2025-07-29 22:02:52
"Tunnelton town, West Virginia",West Virginia,296,,,,,,,US Census API,2025-07-29 22:02:52
"Twilight CDP, West Virginia",West Virginia,74,,,,,,,US Census API,2025-07-29 22:02:52
"Union town, West Virginia",West Virginia,419,,,,,,,US Census API,2025-07-29 22:02:52
"Valley Bend CDP, West Virginia",West Virginia,470,,,,,,,US Census API,2025-07-29 22:02:52
"Valley Grove village, West Virginia",West Virginia,275,,,,,,,US Census API,2025-07-29 22:02:52
"Valley Head CDP, West Virginia",West Virginia,207,,,,,,,US Census API,2025-07-29 22:02:52
"Van CDP, West Virginia",West Virginia,177,,,,,,,US Census API,2025-07-29 22:02:52
"Verdunville CDP, West Virginia",West Virginia,491,,,,,,,US Census API,2025-07-29 22:02:52
"Vienna city, West Virginia",West Virginia,10652,,,,,,,US Census API,2025-07-29 22:02:52
"Vivian CDP, West Virginia",West Virginia,85,,,,,,,US Census API,2025-07-29 22:02:52
"Wallace CDP, West Virginia",West Virginia,201,,,,,,,US Census API,2025-07-29 22:02:52
"War city, West Virginia",West Virginia,623,,,,,,,US Census API,2025-07-29 22:02:52
"Wardensville town, West Virginia",West Virginia,269,,,,,,,US Census API,2025-07-29 22:02:52
"Washington CDP, West Virginia",West Virginia,1151,,,,,,,US Census API,2025-07-29 22:02:52
"Waverly CDP, West Virginia",West Virginia,369,,,,,,,US Census API,2025-07-29 22:02:52
"Wayne town, West Virginia",West Virginia,1443,,,,,,,US Census API,2025-07-29 22:02:52
"Weirton city, West Virginia",West Virginia,19163,,,,,,,US Census API,2025-07-29 22:02:52
"Welch city, West Virginia",West Virginia,3590,,,,,,,US Census API,2025-07-29 22:02:52
"Wellsburg city, West Virginia",West Virginia,2450,,,,,,,US Census API,2025-07-29 22:02:52
"West Dunbar CDP, West Virginia",West Virginia,617,,,,,,,US Census API,2025-07-29 22:02:52
"West Hamlin town, West Virginia",West Virginia,524,,,,,,,US Census API,2025-07-29 22:02:52
"West Liberty town, West Virginia",West Virginia,1454,,,,,,,US Census API,2025-07-29 22:02:52
"West Logan town, West Virginia",West Virginia,399,,,,,,,US Census API,2025-07-29 22:02:52
"West Milford town, West Virginia",West Virginia,449,,,,,,,US Census API,2025-07-29 22:02:52
"West Union town, West Virginia",West Virginia,653,,,,,,,US Census API,2025-07-29 22:02:52
"Weston city, West Virginia",West Virginia,3952,,,,,,,US Census API,2025-07-29 22:02:52
"Westover city, West Virginia",West Virginia,3955,,,,,,,US Census API,2025-07-29 22:02:52
"Wheeling city, West Virginia",West Virginia,27052,,,,,,,US Census API,2025-07-29 22:02:52
"White Hall town, West Virginia",West Virginia,700,,,,,,,US Census API,2025-07-29 22:02:52
"White Sulphur Springs city, West Virginia",West Virginia,2221,,,,,,,US Census API,2025-07-29 22:02:52
"Whitesville town, West Virginia",West Virginia,361,,,,,,,US Census API,2025-07-29 22:02:52
"Whitmer CDP, West Virginia",West Virginia,94,,,,,,,US Census API,2025-07-29 22:02:52
"Wiley Ford CDP, West Virginia",West Virginia,906,,,,,,,US Census API,2025-07-29 22:02:52
"Williamson city, West Virginia",West Virginia,3083,,,,,,,US Census API,2025-07-29 22:02:52
"Williamstown city, West Virginia",West Virginia,2997,,,,,,,US Census API,2025-07-29 22:02:52
"Windsor Heights village, West Virginia",West Virginia,361,,,,,,,US Census API,2025-07-29 22:02:52
"Winfield town, West Virginia",West Virginia,2393,,,,,,,US Census API,2025-07-29 22:02:52
"Wolf Summit CDP, West Virginia",West Virginia,214,,,,,,,US Census API,2025-07-29 22:02:52
"Womelsdorf (Coalton) town, West Virginia",West Virginia,189,,,,,,,US Census API,2025-07-29 22:02:52
"Worthington town, West Virginia",West Virginia,179,,,,,,,US Census API,2025-07-29 22:02:52
"Abbotsford city, Wisconsin",Wisconsin,2275,,,,,,,US Census API,2025-07-29 22:02:52
"Abrams CDP, Wisconsin",Wisconsin,358,,,,,,,US Census API,2025-07-29 22:02:52
"Adams city, Wisconsin",Wisconsin,1761,,,,,,,US Census API,2025-07-29 22:02:52
"Adell village, Wisconsin",Wisconsin,498,,,,,,,US Census API,2025-07-29 22:02:52
"Albany village, Wisconsin",Wisconsin,1096,,,,,,,US Census API,2025-07-29 22:02:52
"Algoma city, Wisconsin",Wisconsin,3243,,,,,,,US Census API,2025-07-29 22:02:52
"Allens Grove CDP, Wisconsin",Wisconsin,174,,,,,,,US Census API,2025-07-29 22:02:52
"Allenton CDP, Wisconsin",Wisconsin,859,,,,,,,US Census API,2025-07-29 22:02:52
"Allouez village, Wisconsin",Wisconsin,14156,,,,,,,US Census API,2025-07-29 22:02:52
"Alma Center village, Wisconsin",Wisconsin,487,,,,,,,US Census API,2025-07-29 22:02:52
"Alma city, Wisconsin",Wisconsin,716,,,,,,,US Census API,2025-07-29 22:02:52
"Almena village, Wisconsin",Wisconsin,705,,,,,,,US Census API,2025-07-29 22:02:52
"Almond village, Wisconsin",Wisconsin,424,,,,,,,US Census API,2025-07-29 22:02:52
"Alto CDP, Wisconsin",Wisconsin,166,,,,,,,US Census API,2025-07-29 22:02:52
"Altoona city, Wisconsin",Wisconsin,8293,,,,,,,US Census API,2025-07-29 22:02:52
"Amberg CDP, Wisconsin",Wisconsin,147,,,,,,,US Census API,2025-07-29 22:02:52
"Amery city, Wisconsin",Wisconsin,2962,,,,,,,US Census API,2025-07-29 22:02:52
"Amherst Junction village, Wisconsin",Wisconsin,383,,,,,,,US Census API,2025-07-29 22:02:52
"Amherst village, Wisconsin",Wisconsin,1117,,,,,,,US Census API,2025-07-29 22:02:52
"Angelica CDP, Wisconsin",Wisconsin,94,,,,,,,US Census API,2025-07-29 22:02:52
"Aniwa village, Wisconsin",Wisconsin,243,,,,,,,US Census API,2025-07-29 22:02:52
"Antigo city, Wisconsin",Wisconsin,8100,,,,,,,US Census API,2025-07-29 22:02:52
"Arcadia city, Wisconsin",Wisconsin,3737,,,,,,,US Census API,2025-07-29 22:02:52
"Arena village, Wisconsin",Wisconsin,844,,,,,,,US Census API,2025-07-29 22:02:52
"Argonne CDP, Wisconsin",Wisconsin,135,,,,,,,US Census API,2025-07-29 22:02:52
"Argyle village, Wisconsin",Wisconsin,783,,,,,,,US Census API,2025-07-29 22:02:52
"Arkansaw CDP, Wisconsin",Wisconsin,194,,,,,,,US Census API,2025-07-29 22:02:52
"Arkdale CDP, Wisconsin",Wisconsin,201,,,,,,,US Census API,2025-07-29 22:02:52
"Arlington village, Wisconsin",Wisconsin,844,,,,,,,US Census API,2025-07-29 22:02:52
"Arpin village, Wisconsin",Wisconsin,305,,,,,,,US Census API,2025-07-29 22:02:52
"Ashippun CDP, Wisconsin",Wisconsin,1166,,,,,,,US Census API,2025-07-29 22:02:52
"Ashland city, Wisconsin",Wisconsin,7908,,,,,,,US Census API,2025-07-29 22:02:52
"Ashwaubenon village, Wisconsin",Wisconsin,16991,,,,,,,US Census API,2025-07-29 22:02:52
"Athens village, Wisconsin",Wisconsin,1059,,,,,,,US Census API,2025-07-29 22:02:52
"Auburndale village, Wisconsin",Wisconsin,702,,,,,,,US Census API,2025-07-29 22:02:52
"Augusta city, Wisconsin",Wisconsin,1567,,,,,,,US Census API,2025-07-29 22:02:52
